"","subject","trial","stimulus","response","dangerous","correct","eyes","teeth","spots","arms","color"
"1",1,1,"11011.jpg",1,0,0,"1","1","0","1","1"
"2",1,2,"01111.jpg",0,0,1,"0","1","1","1","1"
"3",1,3,"01110.jpg",0,0,1,"0","1","1","1","0"
"4",1,4,"00100.jpg",0,0,1,"0","0","1","0","0"
"5",1,5,"10011.jpg",1,0,0,"1","0","0","1","1"
"6",1,6,"00110.jpg",0,0,1,"0","0","1","1","0"
"7",1,7,"01011.jpg",0,0,1,"0","1","0","1","1"
"8",1,8,"00001.jpg",0,0,1,"0","0","0","0","1"
"9",1,9,"11110.jpg",0,1,0,"1","1","1","1","0"
"10",1,10,"01101.jpg",0,0,1,"0","1","1","0","1"
"11",1,11,"01111.jpg",0,0,1,"0","1","1","1","1"
"12",1,12,"11000.jpg",1,0,0,"1","1","0","0","0"
"13",1,13,"11010.jpg",1,0,0,"1","1","0","1","0"
"14",1,14,"01111.jpg",0,0,1,"0","1","1","1","1"
"15",1,15,"10001.jpg",0,0,1,"1","0","0","0","1"
"16",1,16,"11111.jpg",1,1,1,"1","1","1","1","1"
"17",1,17,"00010.jpg",0,0,1,"0","0","0","1","0"
"18",1,18,"00101.jpg",0,0,1,"0","0","1","0","1"
"19",1,19,"11100.jpg",0,1,0,"1","1","1","0","0"
"20",1,20,"11101.jpg",1,1,1,"1","1","1","0","1"
"21",1,21,"11111.jpg",1,1,1,"1","1","1","1","1"
"22",1,22,"00010.jpg",0,0,1,"0","0","0","1","0"
"23",1,23,"00010.jpg",0,0,1,"0","0","0","1","0"
"24",1,24,"10111.jpg",1,1,1,"1","0","1","1","1"
"25",1,25,"10111.jpg",1,1,1,"1","0","1","1","1"
"26",1,26,"01100.jpg",0,0,1,"0","1","1","0","0"
"27",1,27,"01000.jpg",0,0,1,"0","1","0","0","0"
"28",1,28,"00100.jpg",0,0,1,"0","0","1","0","0"
"29",1,29,"01011.jpg",0,0,1,"0","1","0","1","1"
"30",1,30,"11001.jpg",0,0,1,"1","1","0","0","1"
"31",1,31,"01011.jpg",0,0,1,"0","1","0","1","1"
"32",1,32,"01010.jpg",0,0,1,"0","1","0","1","0"
"33",1,33,"10110.jpg",1,1,1,"1","0","1","1","0"
"34",1,34,"10110.jpg",1,1,1,"1","0","1","1","0"
"35",1,35,"00101.jpg",0,0,1,"0","0","1","0","1"
"36",1,36,"11000.jpg",0,0,1,"1","1","0","0","0"
"37",1,37,"11000.jpg",0,0,1,"1","1","0","0","0"
"38",1,38,"00000.jpg",0,0,1,"0","0","0","0","0"
"39",1,39,"01001.jpg",0,0,1,"0","1","0","0","1"
"40",1,40,"00111.jpg",0,0,1,"0","0","1","1","1"
"41",1,41,"10101.jpg",0,1,0,"1","0","1","0","1"
"42",1,42,"00110.jpg",0,0,1,"0","0","1","1","0"
"43",1,43,"01001.jpg",0,0,1,"0","1","0","0","1"
"44",1,44,"10010.jpg",1,0,0,"1","0","0","1","0"
"45",1,45,"11101.jpg",0,1,0,"1","1","1","0","1"
"46",1,46,"10000.jpg",0,0,1,"1","0","0","0","0"
"47",1,47,"10000.jpg",0,0,1,"1","0","0","0","0"
"48",1,48,"10100.jpg",1,1,0,"1","0","1","0","0"
"49",1,49,"01010.jpg",0,0,1,"0","1","0","1","0"
"50",1,50,"10010.jpg",1,0,0,"1","0","0","1","0"
"51",1,51,"01100.jpg",0,0,1,"0","1","1","0","0"
"52",1,52,"10100.jpg",1,1,0,"1","0","1","0","0"
"53",1,53,"10100.jpg",1,1,1,"1","0","1","0","0"
"54",1,54,"00100.jpg",0,0,1,"0","0","1","0","0"
"55",1,55,"11100.jpg",1,1,0,"1","1","1","0","0"
"56",1,56,"00001.jpg",0,0,1,"0","0","0","0","1"
"57",1,57,"01001.jpg",0,0,1,"0","1","0","0","1"
"58",1,58,"11001.jpg",0,0,1,"1","1","0","0","1"
"59",1,59,"11110.jpg",1,1,1,"1","1","1","1","0"
"60",1,60,"01110.jpg",1,0,0,"0","1","1","1","0"
"61",1,61,"00111.jpg",0,0,1,"0","0","1","1","1"
"62",1,62,"11110.jpg",1,1,1,"1","1","1","1","0"
"63",1,63,"10011.jpg",0,0,1,"1","0","0","1","1"
"64",1,64,"01000.jpg",0,0,1,"0","1","0","0","0"
"65",1,65,"10000.jpg",0,0,1,"1","0","0","0","0"
"66",1,66,"01010.jpg",0,0,1,"0","1","0","1","0"
"67",1,67,"11100.jpg",0,1,0,"1","1","1","0","0"
"68",1,68,"11101.jpg",1,1,1,"1","1","1","0","1"
"69",1,69,"00110.jpg",0,0,1,"0","0","1","1","0"
"70",1,70,"00001.jpg",0,0,1,"0","0","0","0","1"
"71",1,71,"10101.jpg",1,1,1,"1","0","1","0","1"
"72",1,72,"00101.jpg",1,0,0,"0","0","1","0","1"
"73",1,73,"00000.jpg",0,0,1,"0","0","0","0","0"
"74",1,74,"00011.jpg",0,0,1,"0","0","0","1","1"
"75",1,75,"11010.jpg",1,0,0,"1","1","0","1","0"
"76",1,76,"11011.jpg",0,0,1,"1","1","0","1","1"
"77",1,77,"01000.jpg",0,0,1,"0","1","0","0","0"
"78",1,78,"01110.jpg",0,0,1,"0","1","1","1","0"
"79",1,79,"10101.jpg",1,1,1,"1","0","1","0","1"
"80",1,80,"11010.jpg",1,0,0,"1","1","0","1","0"
"81",1,81,"01101.jpg",0,0,1,"0","1","1","0","1"
"82",1,82,"10001.jpg",0,0,1,"1","0","0","0","1"
"83",1,83,"10011.jpg",0,0,1,"1","0","0","1","1"
"84",1,84,"11011.jpg",0,0,1,"1","1","0","1","1"
"85",1,85,"10111.jpg",1,1,1,"1","0","1","1","1"
"86",1,86,"00000.jpg",0,0,1,"0","0","0","0","0"
"87",1,87,"10110.jpg",1,1,1,"1","0","1","1","0"
"88",1,88,"01100.jpg",0,0,1,"0","1","1","0","0"
"89",1,89,"00111.jpg",0,0,1,"0","0","1","1","1"
"90",1,90,"11001.jpg",0,0,1,"1","1","0","0","1"
"91",1,91,"10001.jpg",0,0,1,"1","0","0","0","1"
"92",1,92,"10010.jpg",0,0,1,"1","0","0","1","0"
"93",1,93,"11111.jpg",1,1,1,"1","1","1","1","1"
"94",1,94,"01101.jpg",0,0,1,"0","1","1","0","1"
"95",1,95,"00011.jpg",0,0,1,"0","0","0","1","1"
"96",1,96,"00011.jpg",0,0,1,"0","0","0","1","1"
"97",1,97,"11111pt.jpg",1,1,1,"1","1","1","1","1"
"98",1,98,"00111pt.jpg",0,0,1,"0","0","1","1","1"
"99",1,99,"10101pt.jpg",1,1,1,"1","0","1","0","1"
"100",1,100,"00101pt.jpg",0,0,1,"0","0","1","0","1"
"101",1,101,"01000pt.jpg",0,0,1,"0","1","0","0","0"
"102",1,102,"01010pt.jpg",0,0,1,"0","1","0","1","0"
"103",1,103,"11011pt.jpg",0,0,1,"1","1","0","1","1"
"104",1,104,"11110pt.jpg",1,1,1,"1","1","1","1","0"
"105",2,1,"00111.jpg",1,0,0,"0","0","1","1","1"
"106",2,2,"11101.jpg",1,1,1,"1","1","1","0","1"
"107",2,3,"01110.jpg",1,0,0,"0","1","1","1","0"
"108",2,4,"00011.jpg",0,0,1,"0","0","0","1","1"
"109",2,5,"00010.jpg",0,0,1,"0","0","0","1","0"
"110",2,6,"10000.jpg",1,0,0,"1","0","0","0","0"
"111",2,7,"11010.jpg",1,0,0,"1","1","0","1","0"
"112",2,8,"10101.jpg",1,1,1,"1","0","1","0","1"
"113",2,9,"00000.jpg",1,0,0,"0","0","0","0","0"
"114",2,10,"11011.jpg",1,0,0,"1","1","0","1","1"
